Position,Id,Title,Authors,Published Date,Country,Original Language,Page Range,Word Count,Global Rank,Global Score,Genre Categories,Subject Categories,Location Categories
305,359,The Stone Diaries,Carol Shields,1993,Canadian,English,300-400,134000,1672,241,"Coming of age, Family & Relationships, Fiction, Literary Fiction, Realistic Fiction, Social & Cultural Fiction","Aging, Death, Domestic Life, Family, Marriage, Memory, Self-discovery, Women's Studies, gender, isolation","Canada, Florida, Illinois, Indiana, United States, Ontario"
306,4229,Stories of Your Life and Others,Ted Chiang,2002,American,English,281,91000,1675,240,"Fiction, Science fiction, Short Story Collection, Speculative Fiction, philosophical","Communication, Free will, Human Experience, Identity, Language & Writing, Science, Technology, Time",Fictional Location
307,9590,Cassandra,Christa Wolf,1983,German,German,305,,1676,240,"Fiction, Historical fiction, Literary Fiction, Modernist, Mythological, philosophical","Fate, Memory, Mythology, Patriarchy, Power, Prophecy, Resistance, Voice, War, gender","Greece, Troy"
308,5635,The New Jim Crow,Michelle Alexander,2010,American,English,312,103000,1677,240,"Cultural, Nonfiction, Political, True Story, True crime","African American History, American History, Civil rights, Criminal Justice System, History, Legal Discrimination, Mass incarceration, Racial discrimination, Racism, Social Inequality, Systemic Racism, War on Drugs",United States
309,3543,The Argonauts,Maggie Nelson,2015,American,English,160,47000,1679,239,"Experimental, Memoir, Modernist, Nonfiction, philosophical","Family, Family dynamics, Gender and Sexuality, Lgbtq+, Love, Motherhood, Parenting, Sexuality, Transformation, Women's Studies, gender, relationships",United States
310,4121,Celestial Harmonies,Peter Esterhazy,2000,Hungarian,Hungarian,800-850,,1683,238,"Encyclopedic, Fiction, Literary Fiction, Postmodern, Social & Cultural Fiction, philosophical","Communism, Family, History, Legacy, Nobility, Politics, aristocracy","Europe, Hungary"
311,4068,The Club Dumas,Arturo Pérez-Reverte,1993,Spanish,Spanish,362-368,,1688,237,"Books About Books, Fiction, Literary Fiction, Magical Realism, Mystery, Postmodern, Thriller & Suspense","Books, Collecting, Conspiracy, Forgery, Investigation, Manuscripts, Novela, Occult","France, Lisbon, Madrid, Paris, Portugal, Spain"
312,4102,The Clay Machine-gun,Victor Pelevin,1996,Russian,Russian,200-300,,1689,237,"Dark, Experimental, Fiction, Modernist, Picaresque, Postmodern, Social & Cultural Fiction, Travel","Insanity, Mythology, Politics, Revolution, War, reality",Russia
313,4547,Lake Wobegon Days,Garrison Keillor,1985,American,English,320,104000,1694,236,"Fiction, Humor, Literary Fiction, Realistic Fiction, Social & Cultural Fiction","Community, Family, Memory, Nostalgia, Small-town life, tradition",Fictional Location
314,6502,A Fatal Inversion,Barbara Vine,1987,British,English,320,90000,1699,236,"Fiction, Literary Fiction, Mystery, Psychological, Thriller & Suspense","Deception, Friendship, Guilt, Murder, relationships, secrets","England, Suffolk"
315,3973,Requiem for a Dream,Hubert Selby,1978,American,English,200-300,55000,1705,235,"Dark, Fiction, Literary Fiction, Psychological, Social & Cultural Fiction, Tragedy","Addiction, Despair, Dreams, Drugs, Economics, Mental Health, Mothers & Children, Obsession, Poverty, Television, relationships","Brooklyn, New York, United States"
316,3579,1Q84,Haruki Murakami,2009,Japanese,Japanese,900-1000,292000,1708,234,"Fiction, Literary Fiction, Magical Realism, Postmodern, Psychological, Science fiction, Speculative Fiction, philosophical","Alternate Realities, Assassins, Control, Cult, Family, Love, Memory, Power, Teachers, Violence, relationships","Japan, Tokyo"
317,3971,Delta of Venus,Anaïs Nin,1977,French,English,250-300,72000,1709,234,"Erotica, Experimental, Fiction, Literary Fiction, Short Story Collection","Desire, Eroticism, Exploration, Intimacy, Passion, Sensuality, Sexuality, Short stories, human nature, relationships","France, Paris"
318,622,Life & Times of Michael K,J. M. Coetzee,1983,South African,English,250,58000,1717,234,"Allegorical, Fiction, Literary Fiction, Pastoral, Realistic Fiction, Social & Cultural Fiction","Freedom, Nature, Poverty, Resilience, Survival, War, isolation, oppression","Africa, South Africa"
319,531,The Making of the Atomic Bomb,Richard Rhodes,1986,American,English,800-900,215000,1720,233,"Encyclopedic, Nonfiction, Political, Technical","American History, Atomic Energy, Ethics, History, History Of Science, Innovation, International relations, Manhattan Project, Military Strategy, Science, Scientific Discovery, World War II, nuclear physics","Germany, Japan, United States"
320,3271,The Secret Diary of Adrian Mole Aged 13 3/4,Sue Townsend,1982,British,English,200-300,30000,1721,233,"Coming of age, Diaries & Journals, Fiction, Humor, Realistic Fiction","Adolescence, Diaries, Family, Family dynamics, Friendship, Juvenile, Love, School, Social Class, Teenagers, Youth, puberty","England, leicester"
321,3992,"Couples, Passersby",Botho Strauß,1981,German,German,126,,1723,232,"Dark, Fiction, Literary Fiction, Modernist, Postmodern, Psychological, philosophical","Alienation, Communication, Existentialism, Human Condition, Love, Modernity, Society, loneliness, relationships","Fictional Location, Germany"
322,13534,The Fox Was Ever The Hunter,Herta Müller,1992,German,German,240,,1725,232,"Allegorical, Drama, Fiction, Literary Fiction, Political, Social & Cultural Fiction","Betrayal, Friendship, Paranoia, Resistance, Totalitarianism, fear, isolation, oppression, surveillance",Romania
323,1296,Harry Potter and the Half-Blood Prince,J. K. Rowling,2005,British,English,607-652,168923,1726,232,"Fantasy, Fiction, Mystery, Speculative Fiction, Thriller & Suspense, Young adult","Betrayal, Death & Grief, Identity, Loyalty, Power, Sacrifice, secrets","England, Fictional Location"
324,3349,Books of Blood,Clive Barker,1984,British,English,507,,1732,229,"Fiction, Horror, Short Story Collection, Speculative Fiction, Supernatural, Technical, Weird Fiction","Darkness, Death & Grief, Revenge, Transformation, Violence, fear, human nature",Fictional Location
325,673,Sabbath's Theater,Philip Roth,1995,American,English,451,241000,1733,229,"Dark Humor, Fiction, Literary Fiction, Picaresque, Postmodern, Tragedy","Aging, Death, Despair, Guilt, Infidelity, Regret, Sex, relationships","New York, United States"
326,3972,Who Do You Think You Are?,Alice Munro,1978,Canadian,English,206-224,,1738,228,"Coming of age, Fiction, Literary Fiction, Realistic Fiction, Short Story Collection","Adulthood, Family, Family dynamics, Friendship, Memory, Mothers & Children, Self-discovery, Short stories, Society, Women's Studies, childhood, gender roles, relationships","Canada, Jubilee, Ontario"
327,363,Interpreter of Maladies,Jhumpa Lahiri,1999,American,English,198-209,27500,1739,228,"Contemporary, Fiction, Literary Fiction, Realistic Fiction, Short Story Collection, Social & Cultural Fiction","Communication, Cultural Differences, Displacement, Family, Immigration, Infidelity, Marriage, Short stories, loneliness, tradition","India, United States"
328,12789,Stone Butch Blues,Leslie Feinberg,1993,American,English,300-320,,1741,228,"Coming of age, Fiction, Literary Fiction, Memoir, Social & Cultural Fiction","Activism, Community, Discrimination, Gender and Sexuality, Labor, Lgbtq+, Resilience, Sexuality, Violence, gender, relationships","Buffalo, New York, United States"
329,1288,A Heartbreaking Work of Staggering Genius,Dave Eggers,2000,American,English,437-512,137000,1752,226,"Dark Humor, Memoir, Nonfiction, Postmodern","Death & Grief, Family, Family dynamics, Grief, Loss, Parenting, Responsibility, Siblings, Survival, Youth, orphans","California, Chicago, Florida, Illinois, San Francisco, United States"
330,4132,The Master,Colm Toibin,2004,Irish,English,338,,1758,225,"Fiction, Historical fiction, Literary Fiction, Modernist, Psychological, Victorian","Creativity, Family, Friendship, Grief, Lgbtq+, Memory, Sexuality, loneliness","Dublin, England, Ireland, Italy, United States"
331,9650,Collected Stories,Isaac Bashevis Singer,1982,Polish,English,832,,1761,225,"Fiction, Literary Fiction, Magical Realism, Short Story Collection, Social & Cultural Fiction","Exile, Faith, Family, Friendship, Jewish Identity, Mysticism, human nature, morality, tradition","Poland, United States"
332,1958,The Giver,Lois Lowry,1993,American,English,180-240,43000,1767,224,"Allegorical, Coming of age, Dystopian, Fiction, Speculative Fiction, Young adult","Choice, Conformity, Control, Emotion, Family, Freedom, Individuality, Memory, Pain","Fictional Location, United States"
333,10527,A Time To Kill,John Grisham,1989,American,English,515,161000,1769,224,"Crime, Drama, Fiction, Political, Thriller & Suspense","Family, Justice, Law, Murder, Prejudice, Racism, Revenge, Southern Culture, Trial, Violence, morality","Clanton, Mississippi, United States"
334,4910,Texaco,Patrick Chamoiseau,1992,Martinican,French,400-500,,1774,223,"Fiction, Historical fiction, Literary Fiction, Magical Realism, Postmodern, Social & Cultural Fiction","Community, Memory, Migration, Resistance, Slavery, Storytelling, Struggle, colonialism, heritage","Fort-de-France, Martinique"
335,3585,Men We Reaped,Jesmyn Ward,2013,American,English,256,,1776,222,"Cultural, Family & Relationships, Memoir, Nonfiction, Tragedy","Community, Death & Grief, Family, Family dynamics, Identity, Loss, Poverty, Racism, Resilience, Survival","DeLisle, Mississippi, United States"
336,12301,A Time Of Gifts,Patrick Leigh Fermor,1977,British,English,300-350,96000,1777,222,"Cultural, Dark, Memoir, Nonfiction, Travel","Culture, European History, History, Self-discovery","Austria, Czechoslovakia, Europe, Germany, Hungary, Netherlands"
337,3477,Swan Song,Robert R. McCammon,1987,American,English,850-960,960000,1780,221,"Dystopian, Fantasy, Fiction, Horror, Post Apocalyptic, Speculative Fiction, Thriller & Suspense","Good vs. Evil, Humanity, Post-apocalypse, Prophecy, Redemption, Survival, War, mutants","Hope, United States"
338,1418,The Curious Incident of the Dog in the Night-time,Mark Haddon,2003,British,English,272-320,64500,1781,221,"Coming of age, Fiction, Literary Fiction, Mystery, Realistic Fiction","Animals, Autism, Family, Family dynamics, Investigation, Juvenile, Mathematics, Murder, Novela, Psychology & Mental Health, Trust, Truth, relationships","England, Independence, Paris, Swindon"
339,2025,The Immortal Life of Henrietta Lacks,Rebecca Skloot,2010,American,English,300-400,128000,1784,221,"Biography, Cultural, Nonfiction, True Story, True crime","American History, Ethics, Family, History, History Of Science, Immortality, Informed Consent, Medicine, Research, Science, race","Baltimore, Maryland, United States, Virginia"
340,1457,Experience,Martin Amis,2000,British,English,432,,1788,220,"Memoir, Nonfiction, philosophical","Death, Family, Fatherhood, Friendship, Grief, Memory, relationships, writing","England, London"
341,4273,Barbarian Days,William Finnegan,2015,American,English,384,156000,1790,220,"Cultural, Memoir, Nonfiction, Sailors & The Sea, Travel","Culture, Friendship, Nature, Self-discovery, Sports, Sports & Outdoors, Surfing","Africa, Australia, California, Fiji, Hawaii, South Africa, United States"
342,11383,Small Lives,Pierre Michon,1984,French,French,96-176,,1796,219,"Dark, Experimental, Fiction, Literary Fiction, Short Story Collection, philosophical","Death, Existence, History, Humanity, Lives, Memory, Narrative",France
343,3968,The Engineer of Human Souls,Josef Škvorecký,1977,Czech,Czech,570-600,,1797,218,"Fiction, Literary Fiction, Modernist, Picaresque, Postmodern","Communism, Culture, Exile, History, Memory, Politics, Teaching","Canada, Czech Republic, Europe, Toronto"
344,1525,Jonathan Strange and Mr Norrell,Susanna Clarke,2004,British,English,782-1006,308931,1798,218,"Fantasy, Fiction, Gothic, High Fantasy, Historical fiction, Magical Realism, Speculative Fiction","Betrayal, Friendship, Madness, Magic, Power, Prophecy, Restoration, Rivalry, Sacrifice, Teachers, War","England, Fictional Location, Great Britain, London"
345,11357,To The Friend Who Did Not Save My Life,Hervé Guibert,1990,French,French,256,,1799,218,"Allegorical, Experimental, Fiction, Literary Fiction, Memoir, Postmodern","AIDS, Death, Friendship, Grief, Illness, Lgbtq+, homosexuality, writing","France, Paris"
346,2253,Dinner at the Homesick Restaurant,Anne Tyler,1982,American,English,300-400,82000,1804,218,"Contemporary, Drama, Family & Relationships, Fiction, Literary Fiction, Realistic Fiction","Aging, Death, Death & Grief, Family, Family dynamics, Forgiveness, Memory, Mothers & Children, Parenting, Siblings, conflict, relationships","Baltimore, United States"
347,3152,Sophie's World,Jostein Gaarder,1991,Norwegian,Norwegian,400-600,151000,1811,217,"Fiction, Historical fiction, Literary Fiction, Postmodern, philosophical","Education, Existence, History, Knowledge, Philosophy, Wisdom, curiosity, reality",Norway
348,105,Harry Potter and the Goblet of Fire,J. K. Rowling,2000,British,English,636-734,190637,1812,217,"Adventure, Coming of age, Fantasy, Fiction, High Fantasy, Speculative Fiction, Young adult","Courage, Family, Friendship, Identity, Justice, Loyalty, Power, Prejudice, Sacrifice, competition, fear","England, Fictional Location"
349,582,The Transit of Venus,Shirley Hazzard,1980,Australian,English,320-352,,1817,216,"Coming of age, Drama, Fiction, Historical fiction, Literary Fiction, Psychological","Ambition, Betrayal, Death, Family, Love, Siblings, relationships","Australia, England, United States"
350,2684,July's People,Nadine Gordimer,1981,South African,English,160-200,47000,1824,215,"Drama, Fiction, Literary Fiction, Political, Realistic Fiction, Social & Cultural Fiction","Apartheid, Family, Power, Privilege, Race relations, Racism, Survival, change, class, conflict","Africa, South Africa, Southern Africa"
351,3601,The Sixth Extinction,Elizabeth Kolbert,2014,American,English,300-350,104000,1828,214,"Cultural, Drama, Nonfiction, Political, Travel","Biodiversity, Climate Change, Conservation, Extinction, History, History Of Science, Human Impact, Life Sciences, Nature & Environment, Palaeontology, Science, Species Loss","Australia, Brazil, Iceland, Panama, United States, Venezuela"
352,3238,The Shadow of the Wind,Carlos Ruiz Zafon,2001,Spanish,Spanish,480-560,130000,1836,213,"Books About Books, Fiction, Historical fiction, Literary Fiction, Magical Realism, Mystery","Betrayal, Books, Death, Family, Friendship, Love, Memory, Obsession, Revenge, secrets","Barcelona, Spain"
353,2935,Orientalism,Edward W. Said,1978,Palestinian,English,300-400,80000,1839,213,"Cultural, Mythological, Nonfiction, Political, philosophical","Asian History, Culture, History, Identity, Imperialism, Knowledge, Middle East History, Orientalism, Power, Representation, Stereotypes, academic, colonialism","Asia, Europe, Middle East, United States"
354,502,And the Band Played On,Randy Shilts,1987,American,English,630,220000,1844,212,"Cultural, Nonfiction, Political, True Story, True crime","AIDS, Activism, American History, Community Impact, Government Response, History, Media Coverage, Medical Research, Medicine, Public Health, Stigma","California, San Francisco, United States"
355,4091,Pereira Maintains,Antonio Tabucchi,1994,Italian,Italian,192,,1848,211,"Fiction, Literary Fiction, Political, Psychological, Social & Cultural Fiction, philosophical","Death, Espionage, Friendship, Journalism, Politics, Resistance, censorship","Lisbon, Portugal"
356,675,Cold Mountain,Charles Frazier,1997,American,English,350-500,161511,1849,211,"Adventure, Fiction, Historical fiction, Literary Fiction, Realistic Fiction","Despair, Friendship, Healing, History, Homecoming, Journey, Love, Southern Culture, Survival, Trauma, War, isolation","Hope, North Carolina, United States"
357,980,The Looming Tower,Lawrence Wright,2006,American,English,469,128000,1852,210,"Cultural, Nonfiction, Political, True Story, True crime","Al-Qaeda, American History, Espionage, History, Intelligence, Islam, Jihad, Middle East History, Politics, Radicalization, Security, Terrorism, extremism","Afghanistan, Kenya, Saudi Arabia, Sudan, Tanzania, United States, Yemen"
358,6229,A Dark Adapted Eye,Barbara Vine,1986,British,English,275-304,90000,1853,210,"Fiction, Gothic, Literary Fiction, Mystery, Psychological","Betrayal, Family, Inheritance, Murder, Psychology, secrets",England
359,6033,"Poems, New And Collected, 1957 1997",Wislawa Szymborska,1998,Polish,Polish,275,,1855,209,"Cultural, Experimental, Fiction, Literary Fiction, Poetry, Postmodern","Existence, History, Humanity, Identity, Memory, Mortality, Nature, Time",Poland
360,4315,The Uses of Enchantment,Bruno Bettelheim,1976,Austrian,English,320-352,,1856,209,"Esoterica, Folklore & Fairy Tales, Nonfiction, Psychological, philosophical","Child development, Cultural Influence, Mythology, Psychology, Psychology & Mental Health, Storytelling, Symbolism",Fictional Location
361,958,The Soul of a New Machine,Tracy Kidder,1981,American,English,293,104000,1857,209,"Biography, Modernist, Nonfiction, Technical, Travel","Corporate Culture, Dedication, Engineering, Innovation, Problem-Solving, Teamwork, Technology, competition","Massachusetts, United States, Westborough"
362,2481,Obasan,Joy Kogawa,1981,Canadian,English,200-350,52000,1858,208,"Family & Relationships, Fiction, Historical fiction, Literary Fiction, Realistic Fiction, Social & Cultural Fiction","Discrimination, Family, Family dynamics, History, Indigenous, Indigenous Identity, Indigenous People, Internment, Memory, Resilience, Trauma, War, World War II, silence","British Columbia, Canada, Slocan"
363,2479,Annie John,Jamaica Kincaid,1985,Antiguan,English,148,30000,1861,208,"Coming of age, Fiction, Literary Fiction, Realistic Fiction, Social & Cultural Fiction","Adolescence, Death, Education, Mother-daughter relationship, Teenagers, colonialism","Antigua, Caribbean, Independence"
364,4000,Waterland,Graham Swift,1983,British,English,310-400,90000,1864,207,"Fiction, Historical fiction, Literary Fiction, Modernist, Postmodern, Social & Cultural Fiction","Death, Education, Family, History, Infidelity, Madness, Memory, Teachers, Trauma, relationships, secrets","England, The Fens"
365,1294,Me Talk Pretty One Day,David Sedaris,2000,American,English,272,100000,1865,207,"Cultural, Humor, Memoir, Nonfiction, Short Story Collection","Culture, Education, Essays, Family, Juvenile, Language, Pets, Teenagers, childhood, relationships","Asia, France, New York, Paris, United States"
366,4174,Tenth of December,George Saunders,2013,American,English,250-300,65000,1870,206,"Absurdist, Fiction, Literary Fiction, Modernist, Postmodern, Short Story Collection","Death, Family, Humanity, Mental Health, Redemption, Society, Suffering, compassion, isolation, morality",Fictional Location
367,11720,Killing Floor,Lee Child,1997,British,English,424,157000,1871,206,"Crime, Fiction, Hard Boiled, Mystery, Thriller & Suspense","Conspiracy, Counterfeiting, Family, Investigation, Justice, Murder, Police, Survival, Violence, corruption","Georgia, Margrave, United States"
368,3096,The Physician,Noah Gordon,1986,American,English,600-640,240000,1872,206,"Adventure, Fiction, Historical fiction, Literary Fiction, Social & Cultural Fiction","Death, Education, Friendship, Healing, Jews, Love, Medicine, Survival, orphans","England, Fictional Location, Persia"
369,15437,Red Sorghum,Yan Mo,1986,Chinese,Chinese,350-400,,1875,205,"Fiction, Historical fiction, Literary Fiction, Magical Realism, Modernist, Social & Cultural Fiction","Betrayal, Family, Heroism, Love, Resistance, Suffering, Survival, Violence, War, tradition",China
370,3342,NW,Zadie Smith,2012,British,English,300-400,120000,1876,205,"Contemporary, Fiction, Literary Fiction, Realistic Fiction, Social & Cultural Fiction","Ambition, Community, Education, class, race","England, London"
371,1295,Harry Potter and the Order of the Phoenix,J. K. Rowling,2003,British,English,766-870,257045,1879,205,"Adventure, Fantasy, Fiction, Good and evil, Speculative Fiction, Tragedy, Young adult","Authority, Courage, Family, Friendship, Identity, Justice, Loss, Prophecy, isolation, rebellion","England, Fictional Location"
372,12306,The Collected Stories Of Lydia Davis,Lydia Davis,2009,American,English,733,,1882,204,"Experimental, Fiction, Literary Fiction, Postmodern, Short Story Collection, Surreal","Communication, Daily life, Family, Language, Memory, Perception, Short stories, loneliness, relationships",Fictional Location
373,380,World's End,T. C. Boyle,1987,American,English,456,,1885,204,"Dark, Fiction, Historical fiction, Literary Fiction, Postmodern","Betrayal, Family, Generations, History, Legacy, Myth, Nature & Environment, Novela, conflict, rebellion, relationships","California, United States"
374,4258,The Witches,Roald Dahl,1983,British,English,200-300,36000,1892,203,"Adventure, Children's books, Fantasy, Fiction, Horror, Speculative Fiction","Courage, Family, Good vs Evil, Transformation, childhood, fear","England, Norway"
375,2070,Geek Love,Katherine Dunn,1989,American,English,348,135000,1893,203,"Absurdist, Dark, Fiction, Horror, Literary Fiction, Magical Realism, Postmodern, Speculative Fiction, Travel","Carnivals, Freaks, Genetic engineering, Manipulation, Obsession, Power, Sibling rivalry, isolation",Fictional Location
376,4238,A Little Life,Hanya Yanagihara,2015,American,English,720-832,288000,1904,202,"Fiction, Literary Fiction, Psychological, Realistic Fiction, Tragedy","Friendship, Identity, Love, Pain, Psychology & Mental Health, Resilience, Survival, Trauma, abuse, loneliness","New York, United States"
377,115,Corelli's Mandolin,Louis de Bernières,1994,British,English,400-500,145000,1906,202,"Drama, Fiction, Historical fiction, Literary Fiction, Magical Realism, Romance","Betrayal, Courage, Friendship, Love, Music, Novela, Occupation, Resistance, Survival, War, World War II, relationships","Cephallonia, Great Britain, Greece"
378,4003,Shame,Salman Rushdie,1983,British,English,319,100000,1920,201,"Allegorical, Fiction, Literary Fiction, Magical Realism, Social & Cultural Fiction","Business & Money, Family, Honor, Madness, Politics, Power, Revenge, Shame, Violence, corruption","Fictional Location, Pakistan"
379,2041,The Emperor of All Maladies,Siddhartha Mukherjee,2010,American,English,571-608,198000,1931,199,"Biography, Encyclopedic, Nonfiction, True Story, philosophical","Health & Fitness, History, Humanity, Innovation, Medicine, Research, Science, Survival, Treatment",United States
380,9985,Sister Outsider,Audre Lorde,1984,American,English,190-200,,1939,198,"Cultural, Memoir, Nonfiction, Poetry, philosophical","Activism, Empowerment, Feminism, Gender and Sexuality, Homophobia, Intersectionality, Lgbtq+, Racism, Self-expression, Sexism, Social Justice, Womens Studies, oppression",United States
381,4445,Parable of the Talents,Octavia E. Butler,1998,American,English,365,126000,1945,198,"Dystopian, Fiction, Political, Post Apocalyptic, Social & Cultural Fiction, Speculative Fiction","Christianity, Community, Family, Leadership, Politics, Slavery, Survival, Terrorism, Violence","Fictional Location, Hope, United States"
382,4079,The Virgin Suicides,Jeffrey Eugenides,1993,American,English,240-250,81000,1947,198,"Fiction, Literary Fiction, Modernist, Psychological, Social & Cultural Fiction, Tragedy","Adolescence, Community, Family, Family dynamics, Grief, Memory, Mental Health, Nostalgia, Siblings, Suicide, Teenagers, isolation","Michigan, Suburb of Detroit, United States"
383,2438,House with the Blind Glass Windows,Herbjørg Wassmo,1981,Norwegian,Norwegian,300-400,,1950,197,"Coming of age, Family & Relationships, Fiction, Literary Fiction, Realistic Fiction","Family, Resilience, Trauma, abuse, childhood, isolation, secrets",Norway
384,2029,The Man Who Mistook His Wife for a Hat,Oliver Sacks,1985,British,English,233-350,63000,1952,197,"Nonfiction, Psychological, True Story, philosophical","Cognition, Consciousness, Disorder, History, History Of Science, Human Experience, Identity, Medicine, Memory, Neurology, Perception, Science",United States
385,86,The Sportswriter,Richard Ford,1986,American,English,375,97500,1954,197,"Contemporary, Fiction, Literary Fiction, Psychological, Realistic Fiction, Social & Cultural Fiction","Divorce, Existentialism, Fatherhood, Friendship, Grief, Marriage, Midlife crisis, Sportswriting, relationships","Haddam, New Jersey, United States"
386,2056,Let the Great World Spin,Colum McCann,2009,Irish,English,349,138000,1956,196,"Drama, Fiction, Literary Fiction, Realistic Fiction, Social & Cultural Fiction","Death, Family, Family dynamics, Friendship, Grief, History, Loss, Redemption, Survival","Hope, New York City, United States"
387,3438,Your Face Tomorrow,Javier Marias,2002,Spanish,Spanish,384,150000,1959,196,"Fiction, Literary Fiction, Postmodern, Psychological, Spy, Thriller & Suspense, philosophical","Betrayal, Deception, Espionage, Memory, Trust, Violence, fear, secrets","London, Madrid, Spain, United Kingdom"
388,2627,Aunt Julia and the Scriptwriter,Mario Vargas Llosa,1977,Peruvian,Spanish,384,134000,1960,195,"Fiction, Humor, Literary Fiction, Magical Realism, Postmodern","Age Difference, Career, Creativity, Love, Radio, Storytelling, relationships, writing","Latin American, Lima, Peru"
389,1248,A Childhood,Harry Crews,1978,American,English,182,60000,1962,195,"Americana, Cultural, Memoir, Nonfiction","Childhood and youth, Community, Culture, Family, Farm life, Hardship, Poverty, Resilience, Rural Life, Survival, childhood","American, Bacon County, Georgia, United States"
390,4396,Say Nothing,Patrick Radden Keefe,2018,American,English,441,118000,1966,195,"Cultural, Nonfiction, Political, Psychological, True crime","American History, Disappearance, European History, Family, Family dynamics, History, Investigation, Politics, Terrorism, Violence, conflict, rebellion, secrets","Europe, Great Britain, Ireland, Northern Ireland, United Kingdom"
391,3052,Freedom,Jonathan Franzen,2010,American,English,562-608,561996,1967,195,"Family & Relationships, Fiction, Literary Fiction, Psychological, Realistic Fiction, Social & Cultural Fiction","Environment, Family, Family dynamics, Freedom, Friendship, Infidelity, Marriage, Parenting, Politics, depression","Minnesota, St. Paul, United States"
392,10032,A School For Fools,Sasha Sokolov,1976,Russian,Russian,160-200,41000,1970,194,"Absurdist, Experimental, Fiction, Literary Fiction, Postmodern, Psychological","Adolescence, Alienation, Education, Family, Memory, Mental illness, Society",Fictional Location
393,3997,Baltasar and Blimunda,José Saramago,1982,Portuguese,Portuguese,300-400,108000,1972,194,"Allegorical, Fiction, Historical fiction, Literary Fiction, Magical Realism, philosophical","Alchemy, Flight, Inquisition, Love, Mysticism, Science, Vision, oppression","Lisbon, Portugal"
394,2078,The Flamethrowers,Rachel Kushner,2013,American,English,383,153000,1973,194,"Fiction, Historical fiction, Literary Fiction, Postmodern, Social & Cultural Fiction","Motorcycles, Politics, Protests, Violence, rebellion, relationships","Italy, New York, United States"
395,805,The Habit of Being,Flannery O'Connor,1979,American,English,600-640,,1977,194,"Cultural, Literary Letters, Nonfiction, Travel","Correspondence, Crafts, Hobbies & Home, Criticism, Essays, Faith, Friendship, Illness, Philosophy, letters, writing","Georgia, United States"
396,2019,The Color of Water,James McBride,1995,American,English,300-350,76000,1979,193,"Biography, Cultural, Family & Relationships, Memoir, Nonfiction","Cultural Heritage, Family, Family dynamics, Identity, Motherhood, Racism, Resilience, Self-discovery, race","New York City, United States"
397,3473,The Notebook,Nicholas Sparks,1996,American,English,214,52000,1981,193,"Family & Relationships, Fiction, Literary Fiction, Realistic Fiction, Romance","Aging, Family, Illness, Love, Memory, Novela, World War II, relationships","New Bern, North Carolina, United States"
398,13536,The War,Marguerite Duras,1985,French,French,192,,1988,193,"Diaries & Journals, Drama, International, Memoir, Nonfiction","Liberation, Love, Memory, Resistance, Suffering, Survival, Trauma, War","France, Hope, Vietnam"
399,6340,The Land Of Laughs,Jonathan Carroll,1980,American,English,241,59000,1999,192,"Fiction, Literary Fiction, Magical Realism, Postmodern, Weird Fiction","Authors, Authorship, Books, Death, Influence, Magic, reality, relationships","Fictional Location, Missouri"
400,4373,Elizabeth Costello,J. M. Coetzee,2003,South African,English,230,70000,2015,192,"Fiction, Literary Fiction, Postmodern, metafiction, philosophical","Animal Rights, Belief Systems, Ethics, Human Consciousness, Mortality, Philosophy","Africa, Australia, South Africa, United States"
401,6339,Ghost Story,Peter Straub,1979,American,English,483-560,150000,2016,191,"Fiction, Gothic, Horror, Psychological, Speculative Fiction, Supernatural, Thriller & Suspense","Death, Friendship, Ghosts, Guilt, Haunting, Revenge, fear, secrets","Milburn, United States"
402,3359,Memoirs of a Geisha,Arthur Golden,1997,American,English,400-500,186000,2017,191,"Coming of age, Fiction, Historical fiction, Literary Fiction, Social & Cultural Fiction","Beauty, Betrayal, Freedom, History, Identity, Love, Power, Survival, tradition","Japan, Kyoto"
403,2059,The Round House,Louise Erdrich,2012,American,English,300-400,80000,2026,191,"Coming of age, Fiction, Literary Fiction, Mystery, Realistic Fiction, Social & Cultural Fiction","Community, Culture, Indians of North America, Indigenous, Indigenous Identity, Indigenous People, Justice, Law, Native American, Revenge, Survival, Trauma, Violence","North Dakota, United States"
404,16356,Amusing Ourselves To Death,Neil Postman,1985,American,English,160-200,,2027,190,"Modernist, Nonfiction, Political, Pop Culture, philosophical","Communication, Culture, Education, Entertainment, Information, Politics, Public Discourse, Technology, Television","Media, New York, United States"
405,2086,Sixty Stories,Donald Barthelme,1981,American,English,256-320,,2034,190,"Dark, Experimental, Fiction, Literary Fiction, Modernist, Postmodern, Short Story Collection, Travel","Alienation, Communication, Existentialism, Family, Identity, Marriage, Modernity",Fictional Location
406,387,Snow Falling on Cedars,David Guterson,1994,American,English,400-500,138460,2035,190,"Fiction, Historical fiction, Literary Fiction, Mystery, Social & Cultural Fiction, Tragedy","Community, Guilt, Journalists, Justice, Love, Memory, Movies, Prejudice, Racism, War, isolation","San Piedro Island, United States, Washington"
407,11459,The Passion Of New Eve,Angela Carter,1977,British,English,192,59000,2036,190,"Experimental, Fiction, Literary Fiction, Magical Realism, Postmodern, Speculative Fiction, philosophical","Feminism, Mythology, Power, Rebirth, Sexuality, Transformation, Violence, gender","New York City, United States"
